,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17,223.00711078643798,3.929986295357942,0.5874055862426758,0.0409902841715349,1000,2,3,10,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 10, 'bootstrap': True}",-8.247171467153944,-8.144235721614887,-8.140179727510132,-8.22671460933561,-8.186226473950377,-8.188905599912989,0.04289806257483139,90,-7.931771894142411,-7.983485852207647,-7.946532853249981,-7.940014396717101,-7.960805238208821,-7.952522046905192,0.01816727327106001
18,1065.7272543430329,20.030696212614856,1.352925682067871,0.030363465618087344,1000,10,1,30,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': True}",-7.119541697794529,-7.006630539951452,-7.03516422546228,-7.091251629495661,-7.024852567104037,-7.0554881319615905,0.0427096016332329,35,-5.091448596662866,-5.226096845192106,-5.130798187289104,-5.128285965658663,-5.168582541392321,-5.149042427239012,0.04560686723802563
19,370.05386276245116,6.947397060759774,0.35465226173400877,0.013292694370782052,200,6,3,40,False,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 40, 'bootstrap': False}",-7.8990182177886865,-7.61917851806953,-7.767918876020921,-7.662736941210414,-7.597032461710696,-7.7091770029600495,0.11164506191340408,78,-3.818777420374132,-3.6814892998977498,-3.6477130281379933,-3.6759300145721845,-3.694317107243474,-3.7036453740451067,0.05954807258751655
20,1017.5727950096131,4.696367316819897,1.3011639595031739,0.03693172252856533,800,10,3,50,True,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 50, 'bootstrap': True}",-7.03488121396982,-6.869416856218678,-6.9638506247629754,-6.990244580484904,-6.925748627533993,-6.956828380594075,0.05632925486849538,21,-4.626907322678669,-4.6582771505103695,-4.661828759746327,-4.624657576554914,-4.6694174395641275,-4.648217649810881,0.018682045112289453
21,1273.8040954589844,3.908113787274388,1.6260963916778564,0.026036155342219484,1000,2,4,80,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 80, 'bootstrap': True}",-7.067893040209938,-6.902186444612241,-7.006629457855115,-7.028601153586496,-6.975191015764588,-6.996100222405675,0.05581823464933394,24,-4.6515535540515724,-4.671681552721829,-4.678746880959806,-4.641213372967123,-4.682349151710614,-4.665108902482189,0.016007274492977116
22,1844.3956493854523,8.105968779208458,2.1161864757537843,0.04115455219868891,1200,10,1,50,True,"{'n_estimators': 1200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 50, 'bootstrap': True}",-6.834823379986563,-6.720050844555297,-6.7637310342448345,-6.8187079969612645,-6.744919219717959,-6.776446495093184,0.043657798081816364,10,-3.943372510490097,-4.006897180285386,-3.975410515134818,-3.9493220354721825,-3.986169561257594,-3.9722343605280157,0.023510720440119953
23,1807.4354160308837,23.84166436639578,1.5639020919799804,0.03347754255950951,800,10,1,70,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 70, 'bootstrap': False}",-7.5497934496661046,-7.437401773436512,-7.618436848825016,-7.460838691118164,-7.420626397440715,-7.497419432097303,0.07513413738271033,50,-2.685197341037552,-2.6800469789094064,-2.6753726803349585,-2.736948734597625,-2.705269367707662,-2.6965670205174406,0.022617670616799902
24,1017.8451790809631,7.397762219420016,1.2925625801086427,0.03104988987840722,800,2,4,100,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 100, 'bootstrap': True}",-7.0716275012924825,-6.898687111875815,-7.010990053196526,-7.040080920090615,-6.9723986363762975,-6.998756844566347,0.05979326009303669,28,-4.65204318116694,-4.667429566626271,-4.6791361401521065,-4.645078157048527,-4.680049697587275,-4.664747348516224,0.014118544307785804
25,286.8608418464661,8.189847889302458,0.30771899223327637,0.022441015162329932,200,2,3,30,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 30, 'bootstrap': False}",-7.918697999809319,-7.617539066179283,-7.7201564594166125,-7.6194722812598545,-7.607323831245567,-7.696637927582127,0.11836551158945924,75,-4.77984420743948,-4.76327366875445,-4.52865383920199,-4.725978489001192,-4.667496775816361,-4.693049396042694,0.09080522940421921
26,259.4613993167877,1.5341385161816619,0.3235012054443359,0.009388851041014227,200,10,3,60,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 60, 'bootstrap': True}",-7.029065427362624,-6.872896344539563,-6.971187283626429,-6.995074024847627,-6.929412938720121,-6.959527203819272,0.054123697622943244,22,-4.611902150635054,-4.632551830065478,-4.639031420166558,-4.601179062127039,-4.639688970148637,-4.624870686628553,0.015547243245347299
